offer	option1	option2	sub_name	trial
8	2	8	Sub_0kpomf59	61
15	15	3	Sub_0kpomf59	62
15	5	15	Sub_0kpomf59	63
9	9	17	Sub_0kpomf59	64
11	11	19	Sub_0kpomf59	65
11	11	5	Sub_0kpomf59	66
13	17	13	Sub_0kpomf59	67
5	3	5	Sub_0kpomf59	68
18	20	18	Sub_0kpomf59	69
1	17	1	Sub_0kpomf59	70
11	11	17	Sub_0kpomf59	71
19	5	19	Sub_0kpomf59	72
9	9	17	Sub_0kpomf59	73
17	3	17	Sub_0kpomf59	74
11	3	11	Sub_0kpomf59	75
14	4	14	Sub_0kpomf59	76
9	9	13	Sub_0kpomf59	77
9	17	9	Sub_0kpomf59	78
8	8	0	Sub_0kpomf59	79
14	4	14	Sub_0kpomf59	80
12	12	16	Sub_0kpomf59	81
10	4	10	Sub_0kpomf59	82
9	11	9	Sub_0kpomf59	83
9	3	9	Sub_0kpomf59	84
19	1	19	Sub_0kpomf59	85
11	11	13	Sub_0kpomf59	86
14	0	14	Sub_0kpomf59	87
9	1	9	Sub_0kpomf59	88
14	14	16	Sub_0kpomf59	89
9	9	13	Sub_0kpomf59	90
7	3	7	Sub_0kpomf59	91
4	0	4	Sub_0kpomf59	92
9	9	19	Sub_0kpomf59	93
2	0	2	Sub_0kpomf59	94
8	8	20	Sub_0kpomf59	95
4	0	4	Sub_0kpomf59	96
16	0	16	Sub_0npz4015	1
5	5	15	Sub_0npz4015	2
4	4	2	Sub_0npz4015	3
14	6	14	Sub_0npz4015	4
6	14	6	Sub_0npz4015	5
7	7	15	Sub_0npz4015	6
10	10	14	Sub_0npz4015	7
17	7	17	Sub_0npz4015	8
16	16	6	Sub_0npz4015	9
16	2	16	Sub_0npz4015	10
17	17	1	Sub_0npz4015	11
7	7	17	Sub_0npz4015	12
13	1	13	Sub_0npz4015	13
13	13	19	Sub_0npz4015	14
17	17	19	Sub_0npz4015	15
13	13	17	Sub_0npz4015	16
20	2	20	Sub_0npz4015	17
14	14	6	Sub_0npz4015	18
16	16	6	Sub_0npz4015	19
7	7	15	Sub_0npz4015	20
13	13	19	Sub_0npz4015	21
8	0	8	Sub_0npz4015	22
10	2	10	Sub_0npz4015	23
13	13	5	Sub_0npz4015	24
13	3	13	Sub_0npz4015	25
11	11	7	Sub_0npz4015	26
12	12	18	Sub_0npz4015	27
6	6	8	Sub_0npz4015	28
15	3	15	Sub_0npz4015	29
13	13	17	Sub_0npz4015	30
10	10	20	Sub_0npz4015	31
10	10	18	Sub_0npz4015	32
10	10	2	Sub_0npz4015	33
8	12	8	Sub_0npz4015	34
12	20	12	Sub_0npz4015	35
11	1	11	Sub_0npz4015	36
8	4	8	Sub_0npz4015	37
14	14	18	Sub_0npz4015	38
7	7	13	Sub_0npz4015	39
12	12	14	Sub_0npz4015	40
16	16	18	Sub_0npz4015	41
11	11	19	Sub_0npz4015	42
18	18	20	Sub_0npz4015	43
12	12	18	Sub_0npz4015	44
18	2	18	Sub_0npz4015	45
12	6	12	Sub_0npz4015	46
11	3	11	Sub_0npz4015	47
10	12	10	Sub_0npz4015	48
17	5	17	Sub_0npz4015	49
15	17	15	Sub_0npz4015	50
11	11	17	Sub_0npz4015	51
10	4	10	Sub_0npz4015	52
13	7	13	Sub_0npz4015	53
20	20	0	Sub_0npz4015	54
13	3	13	Sub_0npz4015	55
14	2	14	Sub_0npz4015	56
18	18	20	Sub_0npz4015	57
9	3	9	Sub_0npz4015	58
19	1	19	Sub_0npz4015	59
15	15	19	Sub_0npz4015	60
13	13	5	Sub_0npz4015	61
9	5	9	Sub_0npz4015	62
7	7	15	Sub_0npz4015	63
9	1	9	Sub_0npz4015	64
18	18	6	Sub_0npz4015	65
3	1	3	Sub_0npz4015	66
13	13	15	Sub_0npz4015	67
16	8	16	Sub_0npz4015	68
6	6	20	Sub_0npz4015	69
20	2	20	Sub_0npz4015	70
9	11	9	Sub_0npz4015	71
11	13	11	Sub_0npz4015	72
4	2	4	Sub_0npz4015	73
8	8	16	Sub_0npz4015	74
10	6	10	Sub_0npz4015	75
