offer	option1	option2	sub_name	trial
19	1	19	Sub_0kpomf59	61
10	10	16	Sub_0kpomf59	62
10	2	10	Sub_0kpomf59	63
13	1	13	Sub_0kpomf59	64
9	3	9	Sub_0kpomf59	65
14	14	18	Sub_0kpomf59	66
19	1	19	Sub_0kpomf59	67
2	2	20	Sub_0kpomf59	68
14	2	14	Sub_0kpomf59	69
11	11	17	Sub_0kpomf59	70
15	7	15	Sub_0kpomf59	71
13	13	7	Sub_0kpomf59	72
11	11	1	Sub_0kpomf59	73
8	0	8	Sub_0kpomf59	74
15	15	19	Sub_0kpomf59	75
16	20	16	Sub_0kpomf59	76
13	3	13	Sub_0kpomf59	77
14	4	14	Sub_0kpomf59	78
10	4	10	Sub_0kpomf59	79
14	14	8	Sub_0kpomf59	80
11	7	11	Sub_0kpomf59	81
14	2	14	Sub_0kpomf59	82
9	9	15	Sub_0kpomf59	83
15	7	15	Sub_0kpomf59	84
12	12	14	Sub_0kpomf59	85
13	13	17	Sub_0kpomf59	86
10	10	20	Sub_0kpomf59	87
17	5	17	Sub_0kpomf59	88
8	8	2	Sub_0kpomf59	89
13	7	13	Sub_0kpomf59	90
14	4	14	Sub_0kpomf59	91
10	16	10	Sub_0kpomf59	92
9	1	9	Sub_0kpomf59	93
11	11	5	Sub_0kpomf59	94
6	2	6	Sub_0kpomf59	95
18	18	0	Sub_0kpomf59	96
19	19	1	Sub_0npz4015	1
7	19	7	Sub_0npz4015	2
8	2	8	Sub_0npz4015	3
5	3	5	Sub_0npz4015	4
3	19	3	Sub_0npz4015	5
12	4	12	Sub_0npz4015	6
5	3	5	Sub_0npz4015	7
7	7	11	Sub_0npz4015	8
15	15	3	Sub_0npz4015	9
5	5	19	Sub_0npz4015	10
13	3	13	Sub_0npz4015	11
5	5	19	Sub_0npz4015	12
11	11	19	Sub_0npz4015	13
12	0	12	Sub_0npz4015	14
15	1	15	Sub_0npz4015	15
7	3	7	Sub_0npz4015	16
9	9	19	Sub_0npz4015	17
8	6	8	Sub_0npz4015	18
12	10	12	Sub_0npz4015	19
12	4	12	Sub_0npz4015	20
13	17	13	Sub_0npz4015	21
11	5	11	Sub_0npz4015	22
10	6	10	Sub_0npz4015	23
14	6	14	Sub_0npz4015	24
12	12	16	Sub_0npz4015	25
13	9	13	Sub_0npz4015	26
11	5	11	Sub_0npz4015	27
10	10	18	Sub_0npz4015	28
14	6	14	Sub_0npz4015	29
11	15	11	Sub_0npz4015	30
17	17	19	Sub_0npz4015	31
16	10	16	Sub_0npz4015	32
4	0	4	Sub_0npz4015	33
6	6	4	Sub_0npz4015	34
8	8	18	Sub_0npz4015	35
10	2	10	Sub_0npz4015	36
5	1	5	Sub_0npz4015	37
2	2	0	Sub_0npz4015	38
13	19	13	Sub_0npz4015	39
13	5	13	Sub_0npz4015	40
8	0	8	Sub_0npz4015	41
9	17	9	Sub_0npz4015	42
15	19	15	Sub_0npz4015	43
8	8	16	Sub_0npz4015	44
14	14	2	Sub_0npz4015	45
17	1	17	Sub_0npz4015	46
12	2	12	Sub_0npz4015	47
16	16	20	Sub_0npz4015	48
16	0	16	Sub_0npz4015	49
9	9	5	Sub_0npz4015	50
8	8	20	Sub_0npz4015	51
8	8	4	Sub_0npz4015	52
16	16	4	Sub_0npz4015	53
3	3	19	Sub_0npz4015	54
16	2	16	Sub_0npz4015	55
11	1	11	Sub_0npz4015	56
6	6	0	Sub_0npz4015	57
18	0	18	Sub_0npz4015	58
17	9	17	Sub_0npz4015	59
10	10	20	Sub_0npz4015	60
11	1	11	Sub_0npz4015	61
6	6	2	Sub_0npz4015	62
11	17	11	Sub_0npz4015	63
17	17	1	Sub_0npz4015	64
13	11	13	Sub_0npz4015	65
6	6	20	Sub_0npz4015	66
17	19	17	Sub_0npz4015	67
9	3	9	Sub_0npz4015	68
11	11	13	Sub_0npz4015	69
16	16	6	Sub_0npz4015	70
15	1	15	Sub_0npz4015	71
10	16	10	Sub_0npz4015	72
9	3	9	Sub_0npz4015	73
10	10	18	Sub_0npz4015	74
15	5	15	Sub_0npz4015	75
14	14	20	Sub_0npz4015	76
10	6	10	Sub_0npz4015	77
10	6	10	Sub_0npz4015	78
6	2	6	Sub_0npz4015	79
6	6	20	Sub_0npz4015	80
3	1	3	Sub_0npz4015	81
18	20	18	Sub_0npz4015	82
8	20	8	Sub_0npz4015	83
9	5	9	Sub_0npz4015	84
12	12	18	Sub_0npz4015	85
2	2	20	Sub_0npz4015	86
15	15	5	Sub_0npz4015	87
8	4	8	Sub_0npz4015	88
8	0	8	Sub_0npz4015	89
18	4	18	Sub_0npz4015	90
15	7	15	Sub_0npz4015	91
10	10	12	Sub_0npz4015	92
13	13	17	Sub_0npz4015	93
14	14	4	Sub_0npz4015	94
16	4	16	Sub_0npz4015	95
5	5	17	Sub_0npz4015	96
18	2	18	Sub_0v1d7ya3	1
9	9	19	Sub_0v1d7ya3	2
8	4	8	Sub_0v1d7ya3	3
10	6	10	Sub_0v1d7ya3	4
7	17	7	Sub_0v1d7ya3	5
3	3	1	Sub_0v1d7ya3	6
9	9	13	Sub_0v1d7ya3	7
13	5	13	Sub_0v1d7ya3	8
8	8	20	Sub_0v1d7ya3	9
14	14	16	Sub_0v1d7ya3	10
13	13	19	Sub_0v1d7ya3	11
7	5	7	Sub_0v1d7ya3	12
13	13	17	Sub_0v1d7ya3	13
6	6	0	Sub_0v1d7ya3	14
13	3	13	Sub_0v1d7ya3	15
9	5	9	Sub_0v1d7ya3	16
10	14	10	Sub_0v1d7ya3	17
16	4	16	Sub_0v1d7ya3	18
10	16	10	Sub_0v1d7ya3	19
10	10	14	Sub_0v1d7ya3	20
9	1	9	Sub_0v1d7ya3	21
12	6	12	Sub_0v1d7ya3	22
12	0	12	Sub_0v1d7ya3	23
8	8	16	Sub_0v1d7ya3	24
15	5	15	Sub_0v1d7ya3	25
9	9	13	Sub_0v1d7ya3	26
18	18	20	Sub_0v1d7ya3	27
7	7	19	Sub_0v1d7ya3	28
10	2	10	Sub_0v1d7ya3	29
8	8	16	Sub_0v1d7ya3	30
14	2	14	Sub_0v1d7ya3	31
15	15	19	Sub_0v1d7ya3	32
4	20	4	Sub_0v1d7ya3	33
7	7	5	Sub_0v1d7ya3	34
4	4	0	Sub_0v1d7ya3	35
5	5	19	Sub_0v1d7ya3	36
12	18	12	Sub_0v1d7ya3	37
12	12	14	Sub_0v1d7ya3	38
9	9	17	Sub_0v1d7ya3	39
16	16	20	Sub_0v1d7ya3	40
10	10	20	Sub_0v1d7ya3	41
