participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.test_question_1,player.test_question_2,player.test_question_3,player.test_question_4,player.payoff,group.id_in_subsession,group.payout_chosen_trial,group.option1,group.option2,group.amount_offered,group.option_chosen,group.current_opponent,group.payout,group.soc_or_no,group.offer_accepted,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,FALSE,TRUE,FALSE,TRUE,0,1,,0,12,12,Option 2,triangle,8,Social,1,1,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,3,11,11,Option 2,square,9,Social,1,2,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,3,15,3,Option 1,square,17,Social,1,3,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,7,9,7,Option 1,triangle,13,Social,1,4,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,15,19,15,Option 1,triangle,5,Social,1,5,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,10,14,10,Option 1,circle,10,Social,1,6,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,9,15,9,Option 1,circle,11,Social,1,7,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,7,19,7,Option 1,square,13,Social,1,8,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,2,12,12,Option 2,triangle,8,Social,1,9,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,0,16,16,Option 2,triangle,4,Social,1,10,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,1,9,9,Option 2,square,11,Social,1,11,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,10,20,10,Option 1,triangle,10,Social,1,12,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,2,4,4,Option 2,triangle,16,Social,1,13,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,2,20,2,Option 1,square,18,Social,1,14,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,6,8,8,Option 2,square,12,Social,1,15,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,16,20,16,Option 1,triangle,4,Social,1,16,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,11,15,11,Option 1,circle,9,Social,1,17,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,15,19,15,Option 1,circle,5,Social,1,18,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,5,15,5,Option 1,circle,15,Social,1,19,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,8,18,8,Option 1,triangle,12,Social,1,20,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,12,16,12,Option 1,circle,8,Social,1,21,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,2,16,2,Option 1,circle,18,Social,1,22,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,4,20,4,Option 1,triangle,0,Social,0,23,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,5,13,5,Option 1,triangle,0,Social,0,24,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,5,17,5,Option 1,square,15,Social,1,25,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,18,20,18,Option 1,square,2,Social,1,26,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,6,12,6,Option 1,circle,14,Social,1,27,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,3,7,7,Option 2,circle,13,Social,1,28,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,8,14,8,Option 1,circle,12,Social,1,29,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,4,8,8,Option 2,square,12,Social,1,30,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,6,10,10,Option 2,triangle,0,Social,0,31,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,11,17,11,Option 1,triangle,9,Social,1,32,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,6,14,6,Option 1,square,14,Social,1,33,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,8,20,8,Option 1,circle,12,Social,1,34,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,2,6,6,Option 2,triangle,0,Social,0,35,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,10,20,10,Option 1,triangle,0,Social,0,36,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,10,16,10,Option 1,circle,10,Social,1,37,ag3bbb10,,,,,,0
